Temperature,Humidity,Label
24,86,Humid
19,72,Comfortable
33,79,Hot
28,71,Comfortable
39,39,Hot
25,41,Comfortable
26,95,Humid
28,64,Comfortable
40,70,Hot
40,42,Hot
29,80,Humid
37,49,Hot
25,35,Comfortable
26,45,Comfortable
39,70,Hot
23,81,Humid
40,91,Hot
19,51,Comfortable
25,62,Comfortable
30,85,Humid
28,94,Humid
32,52,Hot
31,63,Hot
37,52,Hot
26,84,Humid
23,32,Comfortable
21,70,Comfortable
37,53,Hot
37,55,Hot
36,83,Hot
37,56,Hot
33,38,Hot
31,72,Hot
28,59,Comfortable
26,85,Humid
30,34,Comfortable
35,65,Hot
26,63,Comfortable
31,78,Hot
33,86,Hot
23,58,Comfortable
21,88,Humid
32,67,Hot
18,87,Humid
28,62,Comfortable
22,68,Comfortable
36,41,Hot
39,78,Hot
27,51,Comfortable
36,47,Hot
39,37,Hot
33,88,Hot
23,67,Comfortable
30,32,Comfortable
32,41,Hot
23,79,Humid
33,32,Hot
21,44,Comfortable
21,42,Comfortable
21,41,Comfortable
38,32,Hot
25,94,Humid
40,42,Hot
22,56,Comfortable
39,84,Hot
25,58,Comfortable
21,95,Humid
36,32,Hot
37,60,Hot
31,41,Hot
25,66,Comfortable
40,32,Hot
28,57,Comfortable
33,72,Hot
38,95,Hot
21,63,Comfortable
38,30,Hot
21,85,Humid
32,50,Hot
19,84,Humid
30,95,Humid
39,88,Hot
23,59,Comfortable
27,31,Comfortable
38,51,Hot
20,40,Comfortable
19,54,Comfortable
24,31,Comfortable
21,80,Humid
36,46,Hot
22,53,Comfortable
34,82,Hot
24,81,Humid
26,95,Humid
24,77,Humid
27,48,Comfortable
38,67,Hot
24,72,Comfortable
24,85,Humid
34,68,Hot
29,57,Comfortable
29,59,Comfortable
19,31,Comfortable
39,94,Hot
22,60,Comfortable
27,84,Humid
22,46,Comfortable
24,82,Humid
32,37,Hot
19,85,Humid
29,44,Comfortable
37,70,Hot
19,83,Humid
27,78,Humid
26,48,Comfortable
37,69,Hot
40,90,Hot
23,95,Humid
28,53,Comfortable
35,84,Hot
35,40,Hot
34,67,Hot
18,82,Humid
36,88,Hot
31,87,Hot
31,52,Hot
33,86,Hot
39,57,Hot
29,89,Humid
31,33,Hot
22,53,Comfortable
40,94,Hot
30,38,Comfortable
18,38,Comfortable
31,69,Hot
31,68,Hot
25,79,Humid
32,32,Hot
21,36,Comfortable
30,31,Comfortable
18,58,Comfortable
35,37,Hot
29,50,Comfortable
19,57,Comfortable
29,35,Comfortable
35,79,Hot
31,81,Hot
30,95,Humid
20,42,Comfortable
20,81,Humid
40,64,Hot
23,46,Comfortable
29,77,Humid
21,95,Humid
37,37,Hot
29,44,Comfortable
31,88,Hot
31,31,Hot
22,50,Comfortable
24,56,Comfortable
31,35,Hot
35,62,Hot
22,69,Comfortable
36,82,Hot
34,56,Hot
30,30,Comfortable
36,40,Hot
19,62,Comfortable
32,87,Hot
24,69,Comfortable
27,94,Humid
22,39,Comfortable
32,71,Hot
19,52,Comfortable
20,33,Comfortable
32,61,Hot
22,85,Humid
37,88,Hot
24,75,Comfortable
39,56,Hot
20,65,Comfortable
39,38,Hot
19,42,Comfortable
35,30,Hot
31,34,Hot
20,76,Humid
28,76,Humid
20,59,Comfortable
31,86,Hot
20,73,Comfortable
18,90,Humid
38,32,Hot
25,53,Comfortable
18,67,Comfortable
29,44,Comfortable
26,73,Comfortable
23,80,Humid
32,59,Hot
24,88,Humid
28,68,Comfortable
23,34,Comfortable
37,95,Hot
38,76,Hot
32,38,Hot
18,50,Comfortable
20,63,Comfortable
36,77,Hot
23,38,Comfortable
36,67,Hot
19,55,Comfortable
19,64,Comfortable
34,50,Hot
33,71,Hot
29,55,Comfortable
40,47,Hot
30,52,Comfortable
25,69,Comfortable
19,38,Comfortable
34,84,Hot
18,90,Humid
18,80,Humid
31,72,Hot
29,52,Comfortable
19,30,Comfortable
32,43,Hot
27,54,Comfortable
24,69,Comfortable
26,89,Humid
26,37,Comfortable
39,32,Hot
36,74,Hot
34,64,Hot
39,77,Hot
30,50,Comfortable
37,87,Hot
29,44,Comfortable
35,34,Hot
19,64,Comfortable
25,52,Comfortable
33,42,Hot
31,37,Hot
26,81,Humid
30,42,Comfortable
21,44,Comfortable
19,54,Comfortable
19,92,Humid
20,90,Humid
27,53,Comfortable
36,65,Hot
31,37,Hot
29,40,Comfortable
29,30,Comfortable
26,69,Comfortable
24,74,Comfortable
18,30,Comfortable
34,80,Hot
38,51,Hot
28,47,Comfortable
40,74,Hot
30,69,Comfortable
29,93,Humid
18,53,Comfortable
31,95,Hot
32,62,Hot
34,30,Hot
39,79,Hot
18,82,Humid
25,64,Comfortable
30,46,Comfortable
38,82,Hot
22,86,Humid
25,92,Humid
25,53,Comfortable
37,49,Hot
32,71,Hot
36,72,Hot
36,69,Hot
18,70,Comfortable
30,74,Comfortable
40,84,Hot
24,82,Humid
19,34,Comfortable
30,46,Comfortable
25,89,Humid
34,89,Hot
26,64,Comfortable
28,87,Humid
26,78,Humid
40,32,Hot
33,90,Hot
30,35,Comfortable
21,74,Comfortable
18,57,Comfortable
26,50,Comfortable
18,40,Comfortable
40,66,Hot
23,80,Humid
37,48,Hot
27,83,Humid
20,37,Comfortable
23,31,Comfortable
38,71,Hot
28,47,Comfortable
30,44,Comfortable
26,69,Comfortable
24,86,Humid
22,49,Comfortable
24,30,Comfortable
18,70,Comfortable
40,86,Hot
24,30,Comfortable
20,33,Comfortable
34,86,Hot
21,67,Comfortable
28,30,Comfortable
27,43,Comfortable
22,73,Comfortable
35,70,Hot
28,49,Comfortable
25,50,Comfortable
25,33,Comfortable
22,93,Humid
32,80,Hot
24,56,Comfortable
30,67,Comfortable
34,43,Hot
26,89,Humid
37,31,Hot
31,93,Hot
22,75,Comfortable
27,88,Humid
31,79,Hot
19,93,Humid
26,66,Comfortable
25,82,Humid
23,80,Humid
25,85,Humid
34,36,Hot
38,34,Hot
22,58,Comfortable
32,64,Hot
38,52,Hot
25,35,Comfortable
19,56,Comfortable
40,46,Hot
39,59,Hot
36,70,Hot
38,46,Hot
29,64,Comfortable
21,58,Comfortable
39,40,Hot
26,81,Humid
26,35,Comfortable
22,69,Comfortable
26,61,Comfortable
25,51,Comfortable
32,64,Hot
38,45,Hot
29,92,Humid
28,91,Humid
39,90,Hot
32,93,Hot
34,85,Hot
31,50,Hot
34,90,Hot
22,40,Comfortable
29,74,Comfortable
30,46,Comfortable
32,45,Hot
30,80,Humid
38,45,Hot
18,78,Humid
29,39,Comfortable
31,74,Hot
28,68,Comfortable
23,56,Comfortable
28,48,Comfortable
28,81,Humid
31,76,Hot
35,82,Hot
26,60,Comfortable
20,83,Humid
23,94,Humid
26,73,Comfortable
21,39,Comfortable
34,89,Hot
36,59,Hot
31,80,Hot
29,31,Comfortable
20,33,Comfortable
27,66,Comfortable
25,39,Comfortable
21,31,Comfortable
34,38,Hot
34,54,Hot
38,41,Hot
40,51,Hot
39,48,Hot
34,71,Hot
30,90,Humid
28,92,Humid
29,74,Comfortable
21,39,Comfortable
25,47,Comfortable
27,61,Comfortable
22,61,Comfortable
33,68,Hot
29,42,Comfortable
38,66,Hot
26,34,Comfortable
39,89,Hot
34,71,Hot
34,42,Hot
25,67,Comfortable
18,69,Comfortable
30,61,Comfortable
30,38,Comfortable
24,45,Comfortable
25,37,Comfortable
32,94,Hot
19,60,Comfortable
29,49,Comfortable
30,42,Comfortable
30,66,Comfortable
21,58,Comfortable
33,56,Hot
23,30,Comfortable
28,62,Comfortable
22,74,Comfortable
22,63,Comfortable
33,38,Hot
30,68,Comfortable
37,66,Hot
29,36,Comfortable
18,30,Comfortable
27,35,Comfortable
38,31,Hot
31,49,Hot
34,40,Hot
40,41,Hot
19,80,Humid
32,80,Hot
24,70,Comfortable
24,70,Comfortable
29,47,Comfortable
35,39,Hot
24,90,Humid
21,43,Comfortable
37,82,Hot
33,77,Hot
39,80,Hot
26,73,Comfortable
29,54,Comfortable
34,94,Hot
20,78,Humid
23,48,Comfortable
35,38,Hot
21,43,Comfortable
26,73,Comfortable
38,59,Hot
38,41,Hot
28,34,Comfortable
25,34,Comfortable
22,83,Humid
26,30,Comfortable
27,46,Comfortable
23,63,Comfortable
26,79,Humid
34,37,Hot
28,85,Humid
36,93,Hot
23,30,Comfortable
32,31,Hot
35,88,Hot
26,90,Humid
20,71,Comfortable
21,47,Comfortable
24,57,Comfortable
40,44,Hot
22,34,Comfortable
38,62,Hot
22,54,Comfortable
34,38,Hot
38,67,Hot
21,57,Comfortable
36,82,Hot
39,37,Hot
32,89,Hot
28,87,Humid
37,38,Hot
20,42,Comfortable
34,62,Hot
18,69,Comfortable
26,62,Comfortable
21,67,Comfortable
38,75,Hot
36,83,Hot
24,86,Humid
24,79,Humid
25,53,Comfortable
28,68,Comfortable
18,35,Comfortable
39,88,Hot
38,41,Hot
32,67,Hot
22,59,Comfortable
36,63,Hot
22,82,Humid
20,94,Humid
18,36,Comfortable
22,76,Humid
19,31,Comfortable
35,77,Hot
19,95,Humid
32,79,Hot
39,79,Hot
22,90,Humid
31,70,Hot
20,58,Comfortable
24,95,Humid
21,37,Comfortable
20,32,Comfortable
38,85,Hot
19,42,Comfortable
22,52,Comfortable
28,47,Comfortable
40,61,Hot
20,60,Comfortable
35,85,Hot
29,86,Humid
40,81,Hot
34,84,Hot
26,33,Comfortable
31,42,Hot
36,84,Hot
36,83,Hot
29,52,Comfortable
26,32,Comfortable
40,44,Hot
26,35,Comfortable
19,69,Comfortable
28,91,Humid
29,61,Comfortable
30,46,Comfortable
28,48,Comfortable
31,64,Hot
27,34,Comfortable
27,53,Comfortable
20,86,Humid
26,77,Humid
40,30,Hot
33,51,Hot
21,74,Comfortable
39,55,Hot
27,77,Humid
29,84,Humid
22,86,Humid
28,82,Humid
33,69,Hot
27,88,Humid
32,87,Hot
29,80,Humid
30,59,Comfortable
39,47,Hot
31,68,Hot
39,81,Hot
20,53,Comfortable
28,55,Comfortable
40,31,Hot
40,50,Hot
26,34,Comfortable
26,82,Humid
37,50,Hot
30,54,Comfortable
35,41,Hot
21,83,Humid
40,69,Hot
35,47,Hot
22,66,Comfortable
20,52,Comfortable
34,35,Hot
20,30,Comfortable
40,83,Hot
23,59,Comfortable
36,89,Hot
34,57,Hot
18,94,Humid
28,64,Comfortable
28,61,Comfortable
38,44,Hot
30,77,Humid
29,73,Comfortable
34,89,Hot
40,68,Hot
31,66,Hot
29,40,Comfortable
19,61,Comfortable
31,79,Hot
37,77,Hot
23,94,Humid
26,87,Humid
24,75,Comfortable
28,68,Comfortable
21,36,Comfortable
28,48,Comfortable
37,58,Hot
19,55,Comfortable
33,70,Hot
33,31,Hot
23,39,Comfortable
24,80,Humid
36,68,Hot
20,41,Comfortable
21,51,Comfortable
26,69,Comfortable
30,39,Comfortable
21,74,Comfortable
26,71,Comfortable
26,73,Comfortable
31,44,Hot
24,31,Comfortable
30,33,Comfortable
37,30,Hot
28,54,Comfortable
22,37,Comfortable
35,33,Hot
20,67,Comfortable
28,87,Humid
25,46,Comfortable
34,83,Hot
39,69,Hot
29,51,Comfortable
32,53,Hot
40,76,Hot
35,90,Hot
36,58,Hot
37,50,Hot
37,84,Hot
33,53,Hot
26,35,Comfortable
40,59,Hot
35,59,Hot
19,78,Humid
37,62,Hot
22,33,Comfortable
22,91,Humid
31,71,Hot
28,78,Humid
22,39,Comfortable
31,85,Hot
39,72,Hot
38,86,Hot
40,31,Hot
32,70,Hot
35,83,Hot
28,83,Humid
21,84,Humid
27,42,Comfortable
26,32,Comfortable
18,76,Humid
28,78,Humid
30,56,Comfortable
26,91,Humid
32,82,Hot
38,61,Hot
20,64,Comfortable
40,43,Hot
33,40,Hot
40,50,Hot
18,68,Comfortable
35,42,Hot
27,61,Comfortable
35,73,Hot
29,48,Comfortable
28,43,Comfortable
24,79,Humid
30,82,Humid
40,39,Hot
34,34,Hot
40,94,Hot
32,34,Hot
39,85,Hot
28,32,Comfortable
27,44,Comfortable
37,75,Hot
22,75,Comfortable
35,68,Hot
22,39,Comfortable
39,48,Hot
28,45,Comfortable
34,37,Hot
30,90,Humid
18,57,Comfortable
40,64,Hot
29,87,Humid
18,93,Humid
19,59,Comfortable
24,42,Comfortable
21,52,Comfortable
38,78,Hot
21,61,Comfortable
37,60,Hot
37,72,Hot
40,65,Hot
25,65,Comfortable
25,33,Comfortable
19,70,Comfortable
26,73,Comfortable
25,52,Comfortable
31,77,Hot
23,83,Humid
32,91,Hot
23,39,Comfortable
40,57,Hot
30,34,Comfortable
32,44,Hot
32,90,Hot
36,71,Hot
37,69,Hot
27,84,Humid
28,69,Comfortable
33,58,Hot
33,62,Hot
27,55,Comfortable
26,89,Humid
23,92,Humid
40,35,Hot
35,88,Hot
40,57,Hot
28,66,Comfortable
31,31,Hot
35,81,Hot
34,33,Hot
35,90,Hot
24,62,Comfortable
34,73,Hot
39,57,Hot
34,77,Hot
29,63,Comfortable
27,34,Comfortable
22,64,Comfortable
30,49,Comfortable
35,34,Hot
24,72,Comfortable
24,83,Humid
20,55,Comfortable
36,73,Hot
32,92,Hot
30,88,Humid
40,76,Hot
33,89,Hot
36,70,Hot
36,90,Hot
38,75,Hot
24,87,Humid
26,79,Humid
27,56,Comfortable
19,33,Comfortable
25,80,Humid
38,87,Hot
39,79,Hot
29,76,Humid
25,87,Humid
22,77,Humid
35,75,Hot
36,60,Hot
38,51,Hot
19,74,Comfortable
18,87,Humid
23,69,Comfortable
33,38,Hot
29,34,Comfortable
19,72,Comfortable
36,34,Hot
26,37,Comfortable
36,51,Hot
26,56,Comfortable
22,64,Comfortable
25,31,Comfortable
31,38,Hot
30,95,Humid
39,35,Hot
28,94,Humid
23,62,Comfortable
32,75,Hot
24,71,Comfortable
38,69,Hot
25,76,Humid
19,80,Humid
40,47,Hot
40,57,Hot
24,38,Comfortable
39,71,Hot
38,36,Hot
24,33,Comfortable
18,68,Comfortable
21,69,Comfortable
28,64,Comfortable
19,72,Comfortable
24,50,Comfortable
38,94,Hot
22,40,Comfortable
27,41,Comfortable
30,83,Humid
20,74,Comfortable
35,39,Hot
40,69,Hot
36,93,Hot
25,84,Humid
36,60,Hot
38,90,Hot
37,84,Hot
39,89,Hot
26,47,Comfortable
22,36,Comfortable
29,34,Comfortable
20,45,Comfortable
31,87,Hot
26,53,Comfortable
24,67,Comfortable
19,54,Comfortable
37,57,Hot
28,65,Comfortable
22,60,Comfortable
26,84,Humid
31,79,Hot
36,61,Hot
32,63,Hot
19,38,Comfortable
21,64,Comfortable
20,41,Comfortable
19,62,Comfortable
25,62,Comfortable
21,77,Humid
35,47,Hot
24,56,Comfortable
24,77,Humid
26,79,Humid
34,86,Hot
30,50,Comfortable
32,88,Hot
21,36,Comfortable
27,95,Humid
33,95,Hot
23,45,Comfortable
40,41,Hot
31,79,Hot
34,56,Hot
24,57,Comfortable
20,92,Humid
28,46,Comfortable
34,95,Hot
35,81,Hot
18,64,Comfortable
33,84,Hot
40,85,Hot
31,91,Hot
27,65,Comfortable
40,78,Hot
35,77,Hot
34,40,Hot
19,38,Comfortable
31,64,Hot
19,79,Humid
24,72,Comfortable
31,92,Hot
26,89,Humid
22,57,Comfortable
25,64,Comfortable
21,52,Comfortable
33,55,Hot
24,45,Comfortable
40,40,Hot
22,91,Humid
23,55,Comfortable
24,30,Comfortable
31,54,Hot
40,89,Hot
34,89,Hot
21,63,Comfortable
25,80,Humid
34,76,Hot
37,35,Hot
40,90,Hot
19,68,Comfortable
38,82,Hot
32,65,Hot
18,46,Comfortable
39,62,Hot
27,54,Comfortable
30,62,Comfortable
24,91,Humid
28,95,Humid
22,82,Humid
23,91,Humid
19,63,Comfortable
24,34,Comfortable
21,85,Humid
36,81,Hot
39,58,Hot
22,91,Humid
39,79,Hot
38,35,Hot
21,95,Humid
37,81,Hot
19,79,Humid
20,33,Comfortable
35,78,Hot
25,77,Humid
25,79,Humid
27,48,Comfortable
18,36,Comfortable
24,39,Comfortable
40,76,Hot
26,31,Comfortable
35,78,Hot
34,90,Hot
22,86,Humid
18,49,Comfortable
27,70,Comfortable
19,65,Comfortable
25,54,Comfortable
33,67,Hot
23,70,Comfortable
34,33,Hot
39,43,Hot
21,89,Humid
24,33,Comfortable
25,65,Comfortable
20,61,Comfortable
24,75,Comfortable
39,73,Hot
33,66,Hot
37,50,Hot
21,84,Humid
22,34,Comfortable
18,57,Comfortable
21,41,Comfortable
32,63,Hot
40,80,Hot
30,54,Comfortable
22,44,Comfortable
27,39,Comfortable
38,35,Hot
18,33,Comfortable
19,69,Comfortable
19,64,Comfortable
21,91,Humid
23,64,Comfortable
20,80,Humid
26,57,Comfortable
19,66,Comfortable
20,47,Comfortable
21,74,Comfortable
30,95,Humid
40,53,Hot
29,73,Comfortable
19,63,Comfortable
38,59,Hot
36,45,Hot
26,57,Comfortable
26,38,Comfortable
19,92,Humid
19,87,Humid
19,92,Humid
30,71,Comfortable
29,63,Comfortable
29,52,Comfortable
33,37,Hot
31,71,Hot
29,53,Comfortable
29,56,Comfortable
27,94,Humid
39,62,Hot
40,66,Hot
37,31,Hot
29,37,Comfortable
19,33,Comfortable
27,31,Comfortable
18,47,Comfortable
18,87,Humid
21,47,Comfortable
39,50,Hot
40,92,Hot
32,91,Hot
25,81,Humid
33,59,Hot
38,68,Hot
37,57,Hot
40,44,Hot
24,57,Comfortable
23,60,Comfortable
38,45,Hot
35,88,Hot
26,87,Humid
24,63,Comfortable
31,35,Hot
22,92,Humid
22,91,Humid
34,62,Hot
26,50,Comfortable
27,56,Comfortable
26,68,Comfortable
37,93,Hot
40,31,Hot
34,90,Hot
32,55,Hot
23,51,Comfortable
21,33,Comfortable
23,71,Comfortable
20,59,Comfortable
35,91,Hot
18,90,Humid
24,89,Humid
40,77,Hot
29,50,Comfortable
35,90,Hot
32,36,Hot
20,71,Comfortable
29,31,Comfortable
27,61,Comfortable
27,38,Comfortable
26,66,Comfortable
30,46,Comfortable
22,58,Comfortable
32,69,Hot
28,85,Humid
36,45,Hot
35,57,Hot
29,31,Comfortable
37,52,Hot
40,84,Hot
33,34,Hot
34,36,Hot
35,57,Hot
23,93,Humid
25,75,Comfortable
27,69,Comfortable
34,93,Hot
22,78,Humid
40,43,Hot
32,70,Hot
28,84,Humid
28,92,Humid
21,39,Comfortable
34,42,Hot
26,78,Humid
32,73,Hot
18,53,Comfortable
39,45,Hot
36,87,Hot
22,40,Comfortable
35,89,Hot
36,66,Hot
23,79,Humid
28,37,Comfortable
28,73,Comfortable
34,55,Hot
25,87,Humid
36,80,Hot
26,93,Humid
39,61,Hot
32,70,Hot
37,95,Hot
26,73,Comfortable
30,43,Comfortable
39,94,Hot
30,68,Comfortable
37,95,Hot
28,71,Comfortable
37,82,Hot
34,62,Hot
25,36,Comfortable
27,75,Comfortable
20,92,Humid
28,67,Comfortable
34,56,Hot
31,86,Hot
36,67,Hot
22,60,Comfortable
25,42,Comfortable
24,95,Humid
27,61,Comfortable
40,44,Hot
39,89,Hot
24,57,Comfortable
34,48,Hot
21,81,Humid
33,41,Hot
25,58,Comfortable
21,68,Comfortable
39,93,Hot
40,67,Hot
40,57,Hot
21,51,Comfortable
37,72,Hot
40,83,Hot
25,30,Comfortable
38,74,Hot
20,47,Comfortable
34,63,Hot
35,60,Hot
29,43,Comfortable
32,48,Hot
32,94,Hot
34,82,Hot
32,52,Hot
28,88,Humid
24,58,Comfortable
34,58,Hot
25,67,Comfortable
33,81,Hot
36,65,Hot
32,80,Hot
24,37,Comfortable
18,61,Comfortable
31,66,Hot
29,59,Comfortable
21,42,Comfortable
18,90,Humid
29,37,Comfortable
23,60,Comfortable
39,56,Hot
40,70,Hot
20,84,Humid
26,54,Comfortable
24,38,Comfortable
39,40,Hot
35,66,Hot
34,78,Hot
20,58,Comfortable
24,87,Humid
40,43,Hot
24,78,Humid
27,43,Comfortable
38,36,Hot
27,95,Humid
26,62,Comfortable
38,69,Hot
18,74,Comfortable
34,94,Hot
29,85,Humid
30,40,Comfortable
20,45,Comfortable
19,64,Comfortable
35,33,Hot
35,88,Hot
20,76,Humid
22,47,Comfortable
27,70,Comfortable
35,40,Hot
21,34,Comfortable
26,81,Humid
39,33,Hot
39,86,Hot
23,91,Humid
40,65,Hot
33,81,Hot
31,60,Hot
33,82,Hot
26,62,Comfortable
20,90,Humid
27,69,Comfortable
19,65,Comfortable
20,45,Comfortable
28,55,Comfortable
39,60,Hot
36,94,Hot
26,43,Comfortable
34,87,Hot
30,81,Humid
38,31,Hot
39,64,Hot
37,95,Hot
40,84,Hot
34,85,Hot
24,94,Humid
21,39,Comfortable
35,36,Hot
33,31,Hot
20,47,Comfortable
37,94,Hot
38,53,Hot
30,68,Comfortable
35,45,Hot
21,38,Comfortable
28,80,Humid
37,45,Hot
30,36,Comfortable
34,42,Hot
29,42,Comfortable
40,92,Hot
20,74,Comfortable
24,31,Comfortable
24,72,Comfortable
32,83,Hot
30,92,Humid
22,41,Comfortable
22,94,Humid
23,66,Comfortable
23,82,Humid
34,79,Hot
29,91,Humid
39,33,Hot
32,69,Hot
37,76,Hot
27,87,Humid
20,89,Humid
35,74,Hot
29,72,Comfortable
24,51,Comfortable
25,51,Comfortable
19,73,Comfortable
20,85,Humid
19,79,Humid
32,92,Hot
36,52,Hot
29,73,Comfortable
22,68,Comfortable
19,75,Comfortable
22,76,Humid
20,76,Humid
23,88,Humid
20,78,Humid
28,46,Comfortable
36,83,Hot
19,72,Comfortable
26,45,Comfortable
20,74,Comfortable
28,44,Comfortable
20,85,Humid
18,94,Humid
37,80,Hot
39,70,Hot
27,54,Comfortable
22,82,Humid
24,55,Comfortable
18,53,Comfortable
32,75,Hot
19,38,Comfortable
23,42,Comfortable
27,49,Comfortable
32,67,Hot
37,79,Hot
38,32,Hot
20,35,Comfortable
39,45,Hot
23,93,Humid
36,69,Hot
31,42,Hot
18,46,Comfortable
36,49,Hot
18,88,Humid
40,59,Hot
37,73,Hot
36,95,Hot
28,75,Comfortable
38,70,Hot
37,85,Hot
29,52,Comfortable
19,93,Humid
33,74,Hot
19,42,Comfortable
26,92,Humid
30,52,Comfortable
24,33,Comfortable
38,62,Hot
21,51,Comfortable
32,52,Hot
31,55,Hot
20,69,Comfortable
30,44,Comfortable
28,42,Comfortable
25,84,Humid
32,57,Hot
27,69,Comfortable
32,60,Hot
35,64,Hot
34,79,Hot
34,83,Hot
25,91,Humid
22,72,Comfortable
25,45,Comfortable
28,60,Comfortable
26,34,Comfortable
34,55,Hot
21,45,Comfortable
19,32,Comfortable
34,88,Hot
38,62,Hot
21,68,Comfortable
38,58,Hot
24,76,Humid
19,68,Comfortable
37,61,Hot
18,51,Comfortable
20,58,Comfortable
27,38,Comfortable
28,64,Comfortable
28,76,Humid
25,34,Comfortable
18,74,Comfortable
30,54,Comfortable
25,38,Comfortable
26,64,Comfortable
22,40,Comfortable
24,82,Humid
34,71,Hot
34,69,Hot
22,42,Comfortable
27,63,Comfortable
28,49,Comfortable
23,73,Comfortable
30,59,Comfortable
34,53,Hot
40,54,Hot
24,78,Humid
24,33,Comfortable
19,31,Comfortable
20,67,Comfortable
31,48,Hot
36,83,Hot
31,75,Hot
19,60,Comfortable
31,41,Hot
31,63,Hot
20,95,Humid
38,91,Hot
35,65,Hot
28,61,Comfortable
39,46,Hot
35,39,Hot
35,49,Hot
20,79,Humid
29,55,Comfortable
40,78,Hot
29,37,Comfortable
33,60,Hot
40,76,Hot
24,44,Comfortable
40,77,Hot
38,66,Hot
31,69,Hot
28,56,Comfortable
39,67,Hot
24,92,Humid
40,68,Hot
23,70,Comfortable
21,77,Humid
22,45,Comfortable
40,83,Hot
18,37,Comfortable
33,48,Hot
38,89,Hot
19,47,Comfortable
22,51,Comfortable
28,32,Comfortable
18,63,Comfortable
25,56,Comfortable
25,35,Comfortable
18,86,Humid
21,64,Comfortable
26,90,Humid
19,48,Comfortable
31,35,Hot
38,84,Hot
27,62,Comfortable
27,87,Humid
37,81,Hot
29,31,Comfortable
37,39,Hot
18,73,Comfortable
22,95,Humid
31,37,Hot
22,80,Humid
31,32,Hot
30,41,Comfortable
40,88,Hot
34,79,Hot
26,90,Humid
24,38,Comfortable
19,88,Humid
24,61,Comfortable
29,67,Comfortable
26,53,Comfortable
33,57,Hot
32,37,Hot
25,71,Comfortable
